SOLUCION [0.09536888685435263, 7.401541161211567]
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
X37m int#3;0.8739401196060986;1.07890735132264;0.9128947469100345;1.2428516807230208;1.1773286585367129;0.8024243499239675;1.0226416563746288;1.2428516807230208
S17m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S27m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S37m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q17m int#1;294.0;709.4999999999999;94.50000000000001;429.4999999999999;177.50000000000006;1174.5;106.99999999999996;378.9999999999999
q27m int#2;235.49999999999997;846.0000000000002;90.00000000000001;407.0000000000001;211.50000000000003;941.0000000000002;101.5;358.99999999999994
q37m int#3;193.00000000000006;1038.0;91.49999999999996;412.50000000000006;260.0;772.0000000000002;102.49999999999996;412.50000000000006
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g18m int#1;11.111064372126743;17.185107286877905;5.0;16.148085829502325;11.111064372126743;17.185107286877905;5.0;16.148085829502325;88.74738284894939;46.79748753499141
g28m int#2;10.111064372126743;17.129575100814534;5.01851072868779;17.185107286877905;10.111064372126743;17.129575100814534;5.01851072868779;17.185107286877905;88.74738284894939;46.79748753499141
g38m int#3;11.092553643438952;17.148085829502325;5.01851072868779;16.185107286877905;11.092553643438952;17.148085829502325;5.01851072868779;16.185107286877905;88.74738284894939;46.79748753499141
X18m int#1;1.3891280139044317;0.7595177313317137;0.9802323924841586;1.3559125908902985;0.8284377408314738;1.2729361909440207;1.1264733717550257;1.178683860670398
X28m int#2;1.2211293005107882;0.9071066892792459;0.9274945708294048;1.2046038229444072;1.0822800805542319;1.0222041799052137;1.0615400159851802;1.0463140753850317
X38m int#3;0.9115591831406574;1.110485964222165;0.9416484377092066;1.2932864172464829;1.212147707168031;0.8367977684625998;1.0698658200321225;1.2932864172464829
S18m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S28m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S38m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q18m int#1;307.8333333333333;733.7499999999999;97.75000000000001;450.7499999999999;183.58333333333337;1229.75;112.33333333333329;391.8333333333332
q28m int#2;246.24999999999997;873.5000000000003;92.83333333333336;426.1666666666668;218.25000000000006;984.3333333333336;106.25;370.1666666666666
q38m int#3;201.6666666666667;1070.5000000000002;94.24999999999996;430.91666666666674;268.1666666666667;806.6666666666669;107.08333333333329;430.91666666666674
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g19m int#1;11.298403936752388;17.497339894587313;5.0;16.39787191566985;11.298403936752388;17.497339894587313;5.0;16.39787191566985;89.05173340122826;47.08966406517912
g29m int#2;10.298403936752388;17.34813792621112;5.049733989458732;17.497339894587313;10.298403936752388;17.34813792621112;5.049733989458732;17.497339894587313;89.05173340122826;47.08966406517912
g39m int#3;11.248669947293656;17.39787191566985;5.049733989458732;16.497339894587313;11.248669947293656;17.39787191566985;5.049733989458732;16.497339894587313;89.05173340122826;47.08966406517912
